,position.lat,position.lng,Restaurants,Department Stores,Gyms,Cluster
0,17.36254,78.47879,20,7,20,1
1,17.3653,78.4771,20,8,20,1
2,17.36549,78.46825,20,9,20,1
3,17.36316,78.46413,20,4,20,2
4,17.36322,78.46396,20,4,20,2
5,17.367,78.46458,20,6,20,2
6,17.36362,78.46246,20,4,20,2
7,17.37059,78.48372,20,8,20,1
8,17.37604,78.47071,20,8,20,1
9,17.37293,78.46254,20,6,20,2
10,17.37407,78.46266,20,6,20,2
11,17.37744,78.46968,20,8,20,1
12,17.37445,78.46278,20,6,20,2
13,17.37458,78.46265,20,6,20,2
14,17.37489,78.46299,20,6,20,2
15,17.37579,78.46309,20,6,20,2
16,17.37723,78.46423,20,6,20,2
17,17.37459,78.4603,20,5,20,2
18,17.3797,78.47758,20,11,20,0
19,17.38227,78.46841,20,12,20,0
20,17.3837,78.47466,20,12,20,0
21,17.38331,78.46394,20,9,20,1
22,17.38501,78.46435,20,10,20,0
23,17.38522,78.4639,20,10,20,0
24,17.3869,78.4684,20,10,20,0
25,17.38576,78.46385,20,10,20,0
26,17.38697,78.46709,20,10,20,0
27,17.38505,78.48668,20,9,20,1
28,17.38762,78.48265,20,6,20,2
29,17.38688,78.46315,20,10,20,0
30,17.38722,78.4639,20,10,20,0
31,17.3726,78.50104,20,6,20,2
32,17.38741,78.4634,20,9,20,1
33,17.38261,78.49344,20,10,20,0
34,17.38964,78.47442,20,11,20,0
35,17.36648,78.50392,20,5,20,2
36,17.37768,78.49895,20,7,20,1
37,17.37,78.50341,20,6,20,2
38,17.38771,78.46172,20,7,20,1
39,17.38858,78.46341,20,9,20,1
40,17.38906,78.48362,20,10,20,0
41,17.39003,78.4803,20,8,20,1
42,17.38716,78.48937,20,11,20,0
43,17.38758,78.48911,20,12,20,0
44,17.38815,78.48889,20,12,20,0
45,17.38921,78.48701,20,11,20,0
46,17.39213,78.47208,20,10,20,0
47,17.38855,78.48954,20,11,20,0
48,17.39211,78.47119,20,10,20,0
49,17.38817,78.49031,20,11,20,0
50,17.3896,78.4873,20,10,20,0
51,17.38825,78.49017,20,11,20,0
52,17.38992,78.46156,20,8,20,1
53,17.38806,78.49072,20,11,20,0
54,17.38992,78.48705,20,11,20,0
55,17.38785,78.45634,20,6,20,2
56,17.3888,78.4903,20,10,20,0
57,17.38867,78.49082,20,11,20,0
58,17.393,78.47139,20,10,20,0
59,17.38685,78.4942,20,9,20,1
60,17.38972,78.48939,20,10,20,0
61,17.38469,78.45073,20,3,20,2
62,17.38963,78.49026,20,9,20,1
63,17.38509,78.45105,20,3,20,2
64,17.39344,78.4709,20,10,20,0
65,17.39153,78.46189,20,9,20,1
66,17.39095,78.48782,20,10,20,0
67,17.38886,78.49214,20,10,20,0
68,17.38958,78.49091,20,9,20,1
69,17.38962,78.49084,20,9,20,1
70,17.38944,78.49118,20,9,20,1
71,17.3876,78.49422,20,9,20,1
72,17.39115,78.48762,20,10,20,0
73,17.38988,78.49043,20,9,20,1
74,17.38811,78.49469,20,8,20,1
75,17.38807,78.49488,20,8,20,1
76,17.38941,78.49307,20,8,20,1
77,17.39213,78.46052,20,8,20,1
78,17.38825,78.49503,20,8,20,1
79,17.38918,78.49368,20,9,20,1
80,17.38928,78.49352,20,8,20,1
81,17.39231,78.46055,20,8,20,1
82,17.38899,78.454,20,8,20,1
83,17.39231,78.46036,20,8,20,1
84,17.39249,78.4607,20,8,20,1
85,17.39385,78.46441,20,10,20,0
86,17.39027,78.49266,20,8,20,1
87,17.39283,78.46073,20,8,20,1
88,17.39448,78.48178,20,13,20,0
89,17.39099,78.49178,20,9,20,1
90,17.39282,78.45996,20,8,20,1
91,17.39279,78.45945,20,9,20,1
92,17.3839,78.5018,20,8,20,1
93,17.39193,78.45698,20,7,20,1
94,17.39448,78.46301,20,9,20,1
95,17.39201,78.4914,20,10,20,0
96,17.39561,78.48174,20,13,20,0
97,17.3956,78.48183,20,13,20,0
98,17.39664,78.47274,20,12,20,0
99,17.3929,78.4572,20,7,20,1
